EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
124617 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,METHANE,2006 IPCC default ,Methane emission factor for fugitive emissions from oil and gas operations - Well drilling (flaring and venting) ,Well Drilling ,Flaring and venting ,Developed country ,,,0.000033 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124618 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,CARBON DIOXIDE,2006 IPCC default ,Carbon dioxide emission factor for fugitive emissions from oil and gas operations - Well drilling (flaring and venting) ,Well Drilling ,Flaring and venting ,Developed country ,,,0.0001 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124619 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,NMVOC emission factor for fugitive emissions from oil and gas operations - Well drilling (flaring and venting) ,Well Drilling ,Flaring and venting ,Developed country ,,,0.00000087 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124620 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,METHANE,2006 IPCC default ,Methane emission factor for fugitive emissions from oil and gas operations - Well testing (flaring and venting) ,Well Testing ,Flaring and venting ,Developed country ,,,0.000051 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
